2004-NAME-1086132527,41.73451868,-49.94816092,3779.347,"1086132527 moving NE 20m","NOAA 2004 Dive N"
2004-NAME-1086132538,41.73451416,-49.94815936,3779.401,"1086132538 @ .2 knots","NOAA 2004 Dive N"
2004-NAME-1086132945,41.73434704,-49.94810187,3782.973,"1086132945 moving another 10m @ 045","NOAA 2004 Dive N"
2004-NAME-1086133117,41.73427641,-49.94807758,3782.906,"1086133117 ship has arrived at new position","NOAA 2004 Dive N"
2004-NAME-1086133151,41.73426245,-49.94807277,3782.915,"1086133151 5 psi on com","NOAA 2004 Dive N"
2004-NAME-1086133154,41.73426122,-49.94807235,3782.939,"1086133154 7 psi on res.","NOAA 2004 Dive N"
2004-NAME-1086133209,41.73423863,-49.94806458,3782.956,"1086133209 herc moving forward","NOAA 2004 Dive N"
2004-NAME-1086133235,41.73422796,-49.94806091,3782.956,"1086133235 stopping HD tape","NOAA 2004 Dive N"
2004-NAME-1086133372,41.73417170,-49.94804156,3782.939,"1086133372 still camera test","NOAA 2004 Dive N"
2004-NAME-1086133574,41.73408876,-49.94801302,3779.884,"1086133574 framegrab -> 1086133574.tif","NOAA 2004 Dive N"
2004-NAME-1086133578,41.73408711,-49.94801246,3779.869,"1086133578 beauty shots of herc","NOAA 2004 Dive N"
2004-NAME-1086133594,41.73408054,-49.94801020,3780.481,"1086133594 framegrab -> 1086133594.tif","NOAA 2004 Dive N"
2004-NAME-1086133600,41.73407808,-49.94800935,3780.398,"1086133600 framegrab -> 1086133600.tif","NOAA 2004 Dive N"
2004-NAME-1086133634,41.73406412,-49.94800455,3779.334,"1086133634 framegrab -> 1086133634.tif","NOAA 2004 Dive N"
2004-NAME-1086133869,41.73396762,-49.94797135,3782.632,"1086133869 waiting for ship move to take effect...est. 30 min?","NOAA 2004 Dive N"
2004-NAME-1086133899,41.73395530,-49.94796711,3784.998,"1086133899 waiting for ship move to take effect","NOAA 2004 Dive N"
2004-NAME-1086133927,41.73394381,-49.94796316,3785.038,"1086133927 fish","NOAA 2004 Dive N"
2004-NAME-1086133979,41.73392245,-49.94795581,3785.984,"1086133979 starting to record on HD again","NOAA 2004 Dive N"
2004-NAME-1086134043,41.73389617,-49.94794677,3785.770,"1086134043 star decorative tile","NOAA 2004 Dive N"
2004-NAME-1086134124,41.73386291,-49.94793533,3785.427,"1086134124 approaching mound","NOAA 2004 Dive N"
2004-NAME-1086134178,41.73384074,-49.94792770,3785.965,"1086134178 mound framegrab","NOAA 2004 Dive N"
2004-NAME-1086134238,41.73381610,-49.94791923,3786.702,"1086134238 copper pipe","NOAA 2004 Dive N"
2004-NAME-1086134250,41.73381118,-49.94791753,3786.701,"1086134250 next to mudball","NOAA 2004 Dive N"
2004-NAME-1086134304,41.73378900,-49.94790991,3785.505,"1086134304 watch change","NOAA 2004 Dive N"
2004-NAME-1086134717,41.73361941,-49.94785157,3783.959,"1086134717 Preparing to move 33meters 045 degres","NOAA 2004 Dive N"
2004-NAME-1086134735,41.73361202,-49.94784902,3785.647,"1086134735 Ship underway","NOAA 2004 Dive N"
2004-NAME-1086135000,41.73350321,-49.94781159,3781.173,"1086135000 framegrab -> 1086135000.tif","NOAA 2004 Dive N"
2004-NAME-1086135041,41.73348637,-49.94780580,3781.927,"1086135041 Touchdown for rusticle view","NOAA 2004 Dive N"
2004-NAME-1086135042,41.73348596,-49.94780566,3781.927,"1086135042 framegrab -> 1086135042.tif","NOAA 2004 Dive N"
2004-NAME-1086135072,41.73347364,-49.94780142,3783.538,"1086135072 framegrab -> 1086135072.tif","NOAA 2004 Dive N"
2004-NAME-1086135114,41.73345640,-49.94779549,3784.522,"1086135114 framegrab -> 1086135114.tif","NOAA 2004 Dive N"
2004-NAME-1086135128,41.73345065,-49.94779351,3784.335,"1086135128 Red hull paint visible","NOAA 2004 Dive N"
2004-NAME-1086135128,41.73345065,-49.94779351,3784.335,"1086135128 framegrab -> 1086135128.tif","NOAA 2004 Dive N"
2004-NAME-1086135148,41.73344244,-49.94779069,3783.563,"1086135148 framegrab -> 1086135148.tif","NOAA 2004 Dive N"
2004-NAME-1086135170,41.73343340,-49.94778758,3782.527,"1086135170 framegrab -> 1086135170.tif","NOAA 2004 Dive N"
2004-NAME-1086135182,41.73342848,-49.94778588,3781.468,"1086135182 framegrab -> 1086135182.tif","NOAA 2004 Dive N"
2004-NAME-1086135192,41.73342437,-49.94778447,3781.210,"1086135192 framegrab -> 1086135192.tif","NOAA 2004 Dive N"
2004-NAME-1086135277,41.73338947,-49.94777247,3771.506,"1086135277 Ship move completed","NOAA 2004 Dive N"
2004-NAME-1086135284,41.73338659,-49.94777148,3772.359,"1086135284 framegrab -> 1086135284.tif","NOAA 2004 Dive N"
2004-NAME-1086135310,41.73337592,-49.94776780,3772.273,"1086135310 framegrab -> 1086135310.tif","NOAA 2004 Dive N"
2004-NAME-1086135320,41.73337181,-49.94776639,3772.052,"1086135320 framegrab -> 1086135320.tif","NOAA 2004 Dive N"
2004-NAME-1086135404,41.73333732,-49.94775453,3767.370,"1086135404 framegrab -> 1086135404.tif","NOAA 2004 Dive N"
2004-NAME-1086135418,41.73333157,-49.94775255,3765.921,"1086135418 framegrab -> 1086135418.tif","NOAA 2004 Dive N"
2004-NAME-1086135431,41.73332623,-49.94775071,3765.565,"1086135431 Ascending up side of hull","NOAA 2004 Dive N"
2004-NAME-1086135444,41.73332089,-49.94774888,3764.884,"1086135444 framegrab -> 1086135444.tif","NOAA 2004 Dive N"
2004-NAME-1086135456,41.73331596,-49.94774718,3764.600,"1086135456 framegrab -> 1086135456.tif","NOAA 2004 Dive N"
2004-NAME-1086135461,41.73331391,-49.94774648,3764.453,"1086135461 Lifeboat davit visible (overhang)","NOAA 2004 Dive N"
2004-NAME-1086135470,41.73331022,-49.94774520,3764.320,"1086135470 framegrab -> 1086135470.tif","NOAA 2004 Dive N"
2004-NAME-1086135478,41.73330693,-49.94774407,3764.100,"1086135478 framegrab -> 1086135478.tif","NOAA 2004 Dive N"
2004-NAME-1086135490,41.73330200,-49.94774238,3761.352,"1086135490 framegrab -> 1086135490.tif","NOAA 2004 Dive N"
2004-NAME-1086135512,41.73329297,-49.94773927,3765.081,"1086135512 framegrab -> 1086135512.tif","NOAA 2004 Dive N"
2004-NAME-1086135557,41.73327449,-49.94773291,3762.939,"1086135557 Request to move inboard","NOAA 2004 Dive N"
2004-NAME-1086135560,41.73327326,-49.94773249,3762.811,"1086135560 framegrab -> 1086135560.tif","NOAA 2004 Dive N"
2004-NAME-1086135586,41.73326258,-49.94772882,3763.549,"1086135586 framegrab -> 1086135586.tif","NOAA 2004 Dive N"
2004-NAME-1086135596,41.73325848,-49.94772741,3762.865,"1086135596 framegrab -> 1086135596.tif","NOAA 2004 Dive N"
2004-NAME-1086135610,41.73325273,-49.94772543,3762.258,"1086135610 framegrab -> 1086135610.tif","NOAA 2004 Dive N"
2004-NAME-1086135626,41.73324616,-49.94772317,3762.160,"1086135626 framegrab -> 1086135626.tif","NOAA 2004 Dive N"
2004-NAME-1086135632,41.73324370,-49.94772232,3762.046,"1086135632 framegrab -> 1086135632.tif","NOAA 2004 Dive N"
2004-NAME-1086135648,41.73323713,-49.94772006,3761.996,"1086135648 Expansion voint visible","NOAA 2004 Dive N"
2004-NAME-1086135654,41.73323466,-49.94771921,3761.938,"1086135654 *joint","NOAA 2004 Dive N"
2004-NAME-1086135664,41.73323056,-49.94771780,3761.966,"1086135664 framegrab -> 1086135664.tif","NOAA 2004 Dive N"
2004-NAME-1086135676,41.73322563,-49.94771611,3761.759,"1086135676 framegrab -> 1086135676.tif","NOAA 2004 Dive N"
2004-NAME-1086135690,41.73321988,-49.94771413,3762.087,"1086135690 framegrab -> 1086135690.tif","NOAA 2004 Dive N"
2004-NAME-1086135696,41.73321742,-49.94771328,3762.521,"1086135696 framegrab -> 1086135696.tif","NOAA 2004 Dive N"
2004-NAME-1086135702,41.73321495,-49.94771243,3763.002,"1086135702 framegrab -> 1086135702.tif","NOAA 2004 Dive N"
2004-NAME-1086135708,41.73321249,-49.94771159,3763.432,"1086135708 framegrab -> 1086135708.tif","NOAA 2004 Dive N"
2004-NAME-1086135712,41.73321085,-49.94771102,3763.743,"1086135712 framegrab -> 1086135712.tif","NOAA 2004 Dive N"
